,X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,latitude,longitude
142,987581.0756,221911.0505,143,0.054179854,0.000151094,Lincoln Square West,143,Manhattan,45.449931750000005,-122.72446558106034
143,984968.8548,201803.7945,144,0.027620167,4.75e-05,Little Italy/NoLiTa,144,Manhattan,40.7210061,-73.9947024
144,998464.7889,211283.6648,145,0.114313845,0.000346642,Long Island City/Hunters Point,145,Queens,40.7415095,-73.9569751
145,1002636.94,214178.8744,146,0.047140522,0.000104639,Long Island City/Queens Plaza,146,Queens,40.750607,-73.9402599
146,1012428.668,237749.6466,147,0.058765495,0.000106418,Longwood,147,Bronx,28.7008496,-81.3465575
147,986822.8784,201304.8683,148,0.039130502,6.97e-05,Lower East Side,148,Manhattan,40.7159357,-73.9868057
148,998557.138,160266.0312,149,0.083680582,0.00027064,Madison,149,Brooklyn,43.074761,-89.3837613
149,1000115.542,150686.8185,150,0.089331491,0.000332568,Manhattan Beach,150,Brooklyn,33.8915985,-118.3951241
150,993163.0124,229962.8097,151,0.054889941,0.000128849,Manhattan Valley,151,Manhattan,40.7997764,-73.9677716
151,996892.4997,237145.8587,152,0.057909477,0.000146638,Manhattanville,152,Manhattan,40.8157775,-73.951554
152,1008845.682,258295.0956,153,0.024737239,3.25e-05,Marble Hill,153,Manhattan,40.8762983,-73.9104292
153,1013099.185,155382.6404,154,0.227331571,0.001789687,Marine Park/Floyd Bennett Field,154,Brooklyn,Latitude not found,Longitude not found
154,1010132.947,164367.1802,155,0.169808473,0.000868261,Marine Park/Mill Basin,155,Brooklyn,Latitude not found,Longitude not found
155,938488.8473,168389.4267,156,0.14447689,0.001052122,Mariners Harbor,156,Staten Island,40.6367701,-74.1587547
156,1011434.314,203078.8231,157,0.131300218,0.00035437,Maspeth,157,Queens,40.723158,-73.912637
157,981926.0197,207147.399,158,0.054809991,0.000185568,Meatpacking/West Village West,158,Manhattan,40.7397134,-74.0096709
158,1008169.271,237402.9332,159,0.064363233,0.000171249,Melrose South,159,Bronx,-32.8265904,138.1875684
159,1017317.016,201069.3538,160,0.141519143,0.000571235,Middle Village,160,Queens,40.718215650000005,-73.87867154730415
160,990502.2531,215519.8659,161,0.03580391,7.19e-05,Midtown Center,161,Manhattan,30.302121200000002,-81.61965224433564
161,991966.9406,215006.4597,162,0.035269815,4.79e-05,Midtown East,162,Manhattan,40.7598219,-73.9724708
